OTUs,DISEASE_1,DISEASE_2,DISEASE_3,DISEASE_4,HEALTHY_1,HEALTHY_2,HEALTHY_3,HEALTHY_4,BLANK_1,BLANK_2,BLANK_3,BLANK_4
OTU3676,0,0,0,0,0,0,0,0,30,0,0,0
OTU3702,0,0,0,0,0,0,33,0,0,0,0,0
OTU3703,0,0,0,2,0,0,0,0,0,60,0,0
OTU371,0,0,0,38,0,0,0,0,0,0,0,0
OTU3719,6,0,0,0,7,0,0,0,14,0,0,0
OTU372,0,0,0,31,0,0,0,0,0,0,0,0
OTU3727,0,0,0,0,0,24,0,0,0,0,7,17
OTU3734,0,0,0,0,0,70,0,0,0,57,0,35
OTU3737,0,0,0,0,12,99,0,0,0,0,0,133
OTU374,23,0,0,0,0,0,0,92,0,0,0,0
OTU3743,0,0,0,0,0,7,0,0,34,0,0,0
OTU3750,0,0,0,27,0,13,0,0,0,0,0,0
OTU3762,9,0,0,31,0,97,50,0,203,0,0,0
OTU377,143,0,0,0,0,0,0,0,0,0,0,0
OTU3771,11,0,0,0,0,0,62,0,0,0,66,0
OTU3772,0,0,0,0,0,0,0,0,6,19,0,0
OTU3773,0,62,0,31,47,82,0,0,171,0,0,0
OTU3777,0,0,0,0,0,0,0,0,94,0,0,0
OTU3781,0,0,0,0,0,0,0,26,0,0,0,0
OTU3783,0,7,18,0,5,0,4,0,0,2,1,0
OTU3785,0,0,0,0,0,0,0,0,0,39,0,0
OTU3786,0,0,0,0,0,0,0,0,0,0,0,90
OTU379,56,0,0,0,0,0,0,0,0,0,0,0
OTU3795,0,36,0,9,11,0,0,41,0,0,31,0
OTU3797,0,0,0,9,7,14,19,0,11,27,0,0
OTU3798,0,0,0,0,0,0,0,0,0,0,26,0
OTU38,0,2,0,3,22,4,6,0,0,10,10,3
OTU383,1101,0,0,0,16,0,0,0,0,0,0,0
OTU384,0,0,0,0,0,0,0,48,0,0,0,0
OTU3842,0,0,0,0,0,0,0,36,0,0,0,0
OTU387,48,0,0,0,0,0,0,0,0,0,0,0
OTU3879,0,0,0,0,0,73,0,0,0,0,0,0
OTU388,150,0,0,0,0,0,0,0,0,0,0,0
OTU389,25,0,0,0,0,0,0,0,0,0,0,0
OTU3891,8,0,0,0,0,0,0,0,0,0,0,49
